Patched jax.experimental.layout.DeviceLocalLayout -> <class 'jax._src.layout.Layout'>
Initial shape from: /mmfs1/gscratch/matsulab/sim/pinn-exploration-model/outputs/logs/biconcave/data_0123/a000_m00/cont3_lambda_100000_10_100000_100_1/checkpoint_10000
Use pretrained data as initial condition...
[biconcave] pretrain=checkpoint lambdas=(100000,10,100000,100,1,1) -> /mmfs1/gscratch/matsulab/sim/pinn-exploration-model/outputs/logs/biconcave/data_0123/a000_m00/test_lambda_100000_10_100000_100_1_1
[make_train_step] mode = curv+lapH+forc
  use_curv = True
  use_lapH = True
  use_forc = True
  0%|          | 0/10000 [00:00<?, ?it/s]
step=1 loss=379546752.0 ld=0.017243053764104843 lp=248.56051635742188 ls=0.00024238228797912598 lc=13.740915298461914 ll=259.2055358886719 lf=379540896.0 grad_norm=37841833984.0
step=52 loss=1.0844559463373865e+18 ld=0.04212993010878563 lp=264.9007873535156 ls=0.00306683499366045 lc=26.069055557250977 ll=4125.9365234375 lf=1.0844559463373865e+18 grad_norm=inf
step=53 loss=1.0502324099722772e+18 ld=0.042094722390174866 lp=264.95159912109375 ls=0.0030656212475150824 lc=26.085071563720703 ll=4135.38134765625 lf=1.0502324099722772e+18 grad_norm=inf
step=54 loss=1.0187837660777677e+18 ld=0.04206741228699684 lp=265.0240478515625 ls=0.003064642660319805 lc=26.110612869262695 ll=4147.48876953125 lf=1.0187837660777677e+18 grad_norm=inf
step=55 loss=9.886380434621727e+17 ld=0.04203186556696892 lp=265.087890625 ls=0.0030624789651483297 lc=26.122148513793945 ll=4153.08740234375 lf=9.886380434621727e+17 grad_norm=inf
step=56 loss=9.631411247282913e+17 ld=0.04200025275349617 lp=265.1610412597656 ls=0.003060470800846815 lc=26.13698959350586 ll=4160.45263671875 lf=9.631411247282913e+17 grad_norm=inf
step=57 loss=9.376486727603978e+17 ld=0.04197482019662857 lp=265.2304382324219 ls=0.003058961359784007 lc=26.15104866027832 ll=4168.27978515625 lf=9.376486727603978e+17 grad_norm=inf
step=58 loss=9.15017287486931e+17 ld=0.041943762451410294 lp=265.3011474609375 ls=0.003056727582588792 lc=26.160770416259766 ll=4174.43310546875 lf=9.15017287486931e+17 grad_norm=inf
step=59 loss=8.933890691348562e+17 ld=0.041920412331819534 lp=265.37890625 ls=0.003055218141525984 lc=26.178014755249023 ll=4181.48046875 lf=8.933890691348562e+17 grad_norm=inf
step=60 loss=8.720867872609403e+17 ld=0.04189607501029968 lp=265.4696044921875 ls=0.003052850952371955 lc=26.187400817871094 ll=4185.61572265625 lf=8.720867872609403e+17 grad_norm=inf
step=61 loss=8.52513006385365e+17 ld=0.04187021031975746 lp=265.5490417480469 ls=0.0030501659493893385 lc=26.200550079345703 ll=4191.59423828125 lf=8.52513006385365e+17 grad_norm=inf
step=62 loss=8.358828242957763e+17 ld=0.04184846207499504 lp=265.642578125 ls=0.0030480683781206608 lc=26.204919815063477 ll=4195.24951171875 lf=8.358828242957763e+17 grad_norm=inf
step=63 loss=8.174567274011689e+17 ld=0.04183455556631088 lp=265.7158508300781 ls=0.003046837169677019 lc=26.215103149414062 ll=4198.513671875 lf=8.174567274011689e+17 grad_norm=inf
step=64 loss=8.002942442447831e+17 ld=0.04181713983416557 lp=265.80999755859375 ls=0.0030447940807789564 lc=26.222156524658203 ll=4202.01513671875 lf=8.002942442447831e+17 grad_norm=inf
step=65 loss=7.859815577886392e+17 ld=0.04180607944726944 lp=265.89495849609375 ls=0.0030435568187385798 lc=26.224430084228516 ll=4203.626953125 lf=7.859815577886392e+17 grad_norm=inf
step=66 loss=7.706191126058762e+17 ld=0.041792646050453186 lp=265.9897766113281 ls=0.0030418054666370153 lc=26.228221893310547 ll=4206.70703125 lf=7.706191126058762e+17 grad_norm=inf
step=67 loss=7.55735161139626e+17 ld=0.04179367423057556 lp=266.0841369628906 ls=0.0030417435336858034 lc=26.227596282958984 ll=4208.07373046875 lf=7.55735161139626e+17 grad_norm=inf
step=68 loss=7.414070815206932e+17 ld=0.041786130517721176 lp=266.1748352050781 ls=0.003040618496015668 lc=26.233274459838867 ll=4209.892578125 lf=7.414070815206932e+17 grad_norm=inf
step=69 loss=7.27382123513643e+17 ld=0.04178592562675476 lp=266.2827453613281 ls=0.003040121402591467 lc=26.233705520629883 ll=4211.8212890625 lf=7.27382123513643e+17 grad_norm=inf
step=70 loss=7.150350889700557e+17 ld=0.04179181903600693 lp=266.37847900390625 ls=0.0030404769349843264 lc=26.235517501831055 ll=4212.330078125 lf=7.150350889700557e+17 grad_norm=inf
step=71 loss=7.020730151096812e+17 ld=0.04179549962282181 lp=266.4898376464844 ls=0.003040363546460867 lc=26.24127197265625 ll=4215.4873046875 lf=7.020730151096812e+17 grad_norm=inf
step=72 loss=6.904329665427538e+17 ld=0.041802193969488144 lp=266.5891418457031 ls=0.0030409216415137053 lc=26.24066162109375 ll=4217.56591796875 lf=6.904329665427538e+17 grad_norm=inf
step=73 loss=6.779244412288369e+17 ld=0.041812196373939514 lp=266.6903991699219 ls=0.003041260875761509 lc=26.236446380615234 ll=4214.83349609375 lf=6.779244412288369e+17 grad_norm=inf
step=74 loss=6.667209674976133e+17 ld=0.04182479530572891 lp=266.78485107421875 ls=0.003042154246941209 lc=26.24028778076172 ll=4217.64892578125 lf=6.667209674976133e+17 grad_norm=inf
step=75 loss=6.557085339117158e+17 ld=0.041831694543361664 lp=266.8984680175781 ls=0.003042409894987941 lc=26.237102508544922 ll=4218.279296875 lf=6.557085339117158e+17 grad_norm=inf
step=76 loss=6.45894086963757e+17 ld=0.041852064430713654 lp=266.9996337890625 ls=0.0030439754482358694 lc=26.24408721923828 ll=4219.87060546875 lf=6.45894086963757e+17 grad_norm=inf
step=77 loss=6.34657696603177e+17 ld=0.04186686873435974 lp=267.1037902832031 ls=0.0030452741775661707 lc=26.24464988708496 ll=4222.31982421875 lf=6.34657696603177e+17 grad_norm=inf
step=78 loss=6.262147529719153e+17 ld=0.041887324303388596 lp=267.2063293457031 ls=0.003047260921448469 lc=26.242918014526367 ll=4222.62158203125 lf=6.262147529719153e+17 grad_norm=inf
step=79 loss=6.150141654587146e+17 ld=0.04190131276845932 lp=267.31365966796875 ls=0.003048162441700697 lc=26.237342834472656 ll=4221.416015625 lf=6.150141654587146e+17 grad_norm=inf
step=80 loss=6.078066605802127e+17 ld=0.04192005842924118 lp=267.4149475097656 ls=0.0030497077386826277 lc=26.241552352905273 ll=4224.82373046875 lf=6.078066605802127e+17 grad_norm=inf
step=81 loss=5.973210992224502e+17 ld=0.04193809628486633 lp=267.52362060546875 ls=0.0030509699136018753 lc=26.24298667907715 ll=4225.68994140625 lf=5.973210992224502e+17 grad_norm=inf
step=82 loss=5.897032016288809e+17 ld=0.04195120558142662 lp=267.6258850097656 ls=0.0030520278960466385 lc=26.244945526123047 ll=4228.154296875 lf=5.897032016288809e+17 grad_norm=inf
step=83 loss=5.809655201618985e+17 ld=0.04197201877832413 lp=267.7191467285156 ls=0.0030535105615854263 lc=26.238502502441406 ll=4225.615234375 lf=5.809655201618985e+17 grad_norm=inf
step=84 loss=5.73782513776853e+17 ld=0.04198789596557617 lp=267.826904296875 ls=0.003054796252399683 lc=26.245996475219727 ll=4229.05419921875 lf=5.73782513776853e+17 grad_norm=inf
step=85 loss=5.659057499144192e+17 ld=0.042007431387901306 lp=267.9261779785156 ls=0.0030565066263079643 lc=26.24701499938965 ll=4229.2119140625 lf=5.659057499144192e+17 grad_norm=inf
step=86 loss=5.5847810219219354e+17 ld=0.04202324524521828 lp=268.037353515625 ls=0.0030578279402107 lc=26.248443603515625 ll=4232.0263671875 lf=5.5847810219219354e+17 grad_norm=inf
step=87 loss=5.508671109060362e+17 ld=0.04203701764345169 lp=268.1230163574219 ls=0.003058744827285409 lc=26.247812271118164 ll=4231.064453125 lf=5.508671109060362e+17 grad_norm=inf
step=88 loss=5.4390225449988915e+17 ld=0.042053043842315674 lp=268.2276306152344 ls=0.003060148097574711 lc=26.246286392211914 ll=4232.2099609375 lf=5.4390225449988915e+17 grad_norm=inf
step=89 loss=5.372044419803382e+17 ld=0.04206891357898712 lp=268.3275451660156 ls=0.0030614405404776335 lc=26.251142501831055 ll=4233.37255859375 lf=5.372044419803382e+17 grad_norm=inf
step=90 loss=5.30651799355392e+17 ld=0.04208037257194519 lp=268.4212341308594 ls=0.003062095958739519 lc=26.249231338500977 ll=4234.1474609375 lf=5.30651799355392e+17 grad_norm=inf
step=91 loss=5.246067531453563e+17 ld=0.04209616035223007 lp=268.5164794921875 ls=0.0030636729206889868 lc=26.251556396484375 ll=4234.7431640625 lf=5.246067531453563e+17 grad_norm=inf
step=92 loss=5.17679314494292e+17 ld=0.04210306704044342 lp=268.6139221191406 ls=0.003063916228711605 lc=26.24797821044922 ll=4234.90625 lf=5.17679314494292e+17 grad_norm=inf
step=93 loss=5.116730947886121e+17 ld=0.042117901146411896 lp=268.7100830078125 ls=0.003065235912799835 lc=26.256698608398438 ll=4237.53369140625 lf=5.116730947886121e+17 grad_norm=inf
step=94 loss=5.059904407391437e+17 ld=0.04213140532374382 lp=268.81622314453125 ls=0.00306633859872818 lc=26.256731033325195 ll=4239.458984375 lf=5.059904407391437e+17 grad_norm=inf
step=95 loss=4.996744679920763e+17 ld=0.042141661047935486 lp=268.9063415527344 ls=0.003067145124077797 lc=26.252517700195312 ll=4238.1884765625 lf=4.996744679920763e+17 grad_norm=inf
step=96 loss=4.94035244651905e+17 ld=0.04214847460389137 lp=268.9898986816406 ls=0.0030678422190248966 lc=26.255149841308594 ll=4239.5888671875 lf=4.94035244651905e+17 grad_norm=inf
step=97 loss=4.884733994425385e+17 ld=0.04215620458126068 lp=269.0885314941406 ls=0.0030685230158269405 lc=26.25668716430664 ll=4241.2509765625 lf=4.884733994425385e+17 grad_norm=inf
step=98 loss=4.834058877890724e+17 ld=0.042165178805589676 lp=269.1754150390625 ls=0.0030690706335008144 lc=26.256671905517578 ll=4241.00634765625 lf=4.834058877890724e+17 grad_norm=inf
step=99 loss=4.777655992970117e+17 ld=0.04217255860567093 lp=269.27618408203125 ls=0.00306984456256032 lc=26.262561798095703 ll=4244.22607421875 lf=4.777655992970117e+17 grad_norm=inf
step=100 loss=4.7243283046334464e+17 ld=0.04218515381217003 lp=269.3598327636719 ls=0.0030712359584867954 lc=26.264299392700195 ll=4246.87353515625 lf=4.7243283046334464e+17 grad_norm=inf
step=101 loss=4.6732147578372096e+17 ld=0.04219160974025726 lp=269.4468994140625 ls=0.003071746788918972 lc=26.266124725341797 ll=4247.80615234375 lf=4.6732147578372096e+17 grad_norm=inf
